geo,name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
lbn,Lebanon,180936,196192,215220,233618,249689,263924,282060,291980,297232,301556,307588,309419,316922,327817,337503,342471,347616,347988,345041,342498,343396,345379,350248,356840,362208,363782,368048,369518,368431,366052,363907,363476,360693,356772,352916,350024,343643,339031,337603,341875,354309,364304,381929,403462,421703,430226,440189,437747,427190,417235,415787,417973,423452,430747,433424,425243,413317,393222,370066,357536,370759,406289,457373,521004,579919,613370,630480,631950,616545,591917,566127,539967,523356,513362,504468,493735,489270,477218,460969,445701,434809,420969,410114,402223,395701,389433,382347,376047,370303,365219,360756,357351,354203,351331,348852,346965,346706,346273,345800,345411,345231,345953,346289,346289,345943,345264,344721,343586,341920,339787,337207,334312,331197,327861,324301,320497,316668,313002,309422,305889,302383,299471,296677,294003,291476,289136,287659,286190,284743,283344,282028,281476,280746,279854,278796,277592,276807,275690,274299,272694,270898,269229,267489,265627,263558,261228,259168,256955,254583,252103,249591
lbr,Liberia,144617,147107,153510,160304,166619,172712,182622,187965,190767,193195,197091,201338,205902,211042,216410,222040,229058,234679,239617,244945,251643,259910,267689,275492,283738,292968,303696,312767,321217,330647,342443,356580,371525,385623,395230,397013,400118,397064,388675,377379,366225,355015,340273,327369,324494,339845,358765,388221,425268,460598,484760,511169,526350,532844,538432,550864,567251,585734,606166,625709,641398,655491,667319,676953,685320,693427,702542,711520,720608,730151,740493,752317,764485,776934,789427,801921,816331,828753,839824,850433,861337,872686,883545,894079,904267,914169,924496,934103,943144,951834,960398,969637,978188,986186,993738,1001000,1009022,1016036,1022342,1028346,1034400,1041083,1047536,1053782,1059730,1065389,1072033,1077695,1082618,1087177,1091686,1096924,1101684,1106003,1109813,1113129,1117169,1120097,1122182,1123848,1125422,1127428,1129284,1130900,1132010,1132483,1133782,1133843,1132993,1131787,1130648,1129984,1129445,1128898,1127980,1126499,1126005,1124351,1121847,1119038,1116326,1114088,1111886,1109625,1107045,1103959,1101643,1098304,1093996,1089040,1083863
lby,Libya,174164,181309,190837,199713,207507,215078,225553,232539,238263,244860,253960,263701,275598,289814,306019,324141,344972,366442,388403,410648,433148,457453,478675,497473,514766,531398,546811,560471,572820,584069,594366,601821,608013,613047,617428,621451,626199,632710,639520,643935,644143,645983,639494,627188,613516,601727,587099,578641,575061,573299,571204,571342,570911,570536,572338,577768,587139,600288,615463,629355,639619,654587,662243,664265,663695,663239,658640,651178,642209,632962,623998,609446,600748,595785,591290,584964,581198,574479,565699,557030,550035,544294,539628,536137,533452,531413,530886,530974,531483,532223,533085,535554,537048,537761,537967,537870,537992,537418,536172,534167,531327,528027,524122,519674,514788,509517,503862,498479,493285,488187,483121,478517,474239,470250,466563,463214,460795,458461,456268,454294,452617,451668,450653,449617,448570,447531,446799,445837,444641,443170,441398,439581,437383,434849,432050,429011,425790,422604,419398,416084,412607,409354,406150,402984,399855,396740,394209,391766,389402,387156,385164
lca,St. Lucia,11770,11990,12068,12196,12446,12821,13161,13797,14589,15380,16024,16617,16979,17136,17236,17477,18009,18465,18887,19204,19291,18751,18340,17981,17651,17351,16985,16791,16715,16684,16629,16584,16508,16434,16423,16513,16335,16518,16938,17380,17639,17646,17694,17714,17678,17575,17381,17123,16790,16361,15844,15286,14587,13818,13104,12538,11965,11602,11414,11313,11195,11100,11070,11057,11038,11018,11161,11156,11059,10931,10826,10673,10547,10440,10323,10171,9982,9796,9610,9421,9236,9049,8878,8721,8569,8422,8300,8174,8048,7931,7822,7741,7664,7599,7534,7477,7440,7400,7355,7310,7263,7224,7178,7124,7066,7004,6940,6876,6810,6741,6671,6603,6540,6479,6418,6356,6301,6245,6187,6133,6079,6036,5998,5960,5919,5880,5852,5823,5790,5755,5721,5694,5663,5630,5596,5561,5529,5497,5468,5436,5400,5368,5336,5303,5269,5229,5196,5162,5128,5095,5058
lka,Sri Lanka,1263415,1302266,1319210,1333748,1358023,1396267,1423428,1471542,1529670,1584527,1627202,1678952,1699350,1698606,1695601,1704141,1703067,1722083,1754112,1783328,1798857,1820670,1818954,1802186,1787616,1787543,1785111,1807244,1845526,1883661,1910559,1951467,1968384,1966145,1954149,1939524,1916273,1883178,1845596,1809656,1779475,1738053,1722426,1723478,1725520,1716268,1717261,1700513,1672282,1648128,1641320,1646212,1664599,1693447,1722992,1746421,1780954,1796203,1797105,1792258,1787837,1775910,1764381,1753328,1741510,1728355,1712612,1700697,1690149,1677468,1660410,1647850,1624296,1594105,1564579,1540976,1516091,1501261,1493854,1488520,1481931,1483513,1479144,1470457,1460952,1453293,1448959,1442519,1434680,1425339,1414674,1404284,1391474,1376729,1360685,1343836,1326757,1308928,1290546,1271874,1253241,1236019,1218653,1201369,1184499,1168470,1155571,1142153,1128571,1115295,1102880,1093926,1083773,1072876,1061729,1050875,1042626,1032761,1021707,1009909,997862,987330,975248,962071,948241,934158,921281,907517,893104,878358,863656,851012,837709,823975,810169,796749,786214,774844,762982,751010,739361,730805,720971,710253,699182,688357,680108,670632,660316,649449,638224
lso,Lesotho,119394,122534,124712,126561,128560,131062,134058,137061,140078,143104,146229,150107,153124,155680,158364,161686,165504,169416,173536,177916,182734,188646,194016,199187,204631,210797,217560,223772,229629,235309,241051,247818,253770,258961,263359,267060,271401,273875,275099,275875,276786,276580,276243,275750,275151,274656,275739,277081,278347,278667,276930,275034,272825,269938,266618,263765,263477,260315,255828,251837,249721,247747,245870,244349,243376,243819,248552,251067,252292,252949,253513,254703,253309,250315,247137,245139,243551,242773,242746,242868,242691,243260,242620,241157,239627,238671,238421,238030,237627,237216,236888,237444,237219,236476,235553,234788,234647,233873,232712,231404,230206,229512,228387,227001,225518,224135,223395,222152,220595,218945,217438,216615,215292,213656,211895,210218,209185,207573,205617,203602,201801,200553,199027,197355,195643,194043,193135,191704,189939,188052,186277,185094,183364,181319,179237,177385,176036,174491,172847,171141,169483,168518,166930,164944,162868,161012,159659,158003,156227,154423,152656
ltu,Lithuania,222341,225780,235202,245548,254772,262097,273133,277469,277231,275615,276430,281898,284593,286212,286988,286429,282046,277992,274145,270737,267923,263660,263109,264680,266103,265857,268449,266644,262248,258429,257361,255266,257872,263764,270337,275909,283798,289197,291988,292128,289191,284575,276626,265979,253818,241355,227388,214615,203145,192685,182628,171047,162557,156238,151323,147437,147037,146658,146446,146665,147539,151029,152745,152908,152057,151395,152697,151407,149183,147196,145118,135268,130750,129302,128213,125855,124294,121679,118147,114512,111312,109084,106072,102802,99802,97507,95242,94112,93923,94283,94942,96476,98114,99765,101434,103155,105524,107191,108331,109077,109512,109574,109184,108390,107257,105827,103720,101783,99935,98045,95975,93824,91766,89743,87803,86018,84574,83266,82141,81243,80597,80429,80382,80446,80619,80930,81690,82326,82862,83314,83722,84246,84518,84585,84459,84139,83645,82964,82115,81112,79952,78647,77383,76114,74797,73398,72159,70921,69712,68637,67851
lux,Luxembourg,19000,18845,19196,19730,20344,21000,22045,22785,23332,23823,24347,24684,25048,25396,25611,25630,25542,25296,24916,24449,23934,23281,22574,21879,21287,20827,20227,20090,20257,20479,20578,20895,21003,20970,20972,21146,21380,21690,22108,22644,23313,23970,24800,25734,26621,27328,27923,28302,28473,28502,28415,28081,27806,27597,27489,27527,27463,27593,27903,28356,28854,29118,29628,30260,30877,31412,32157,32630,32903,33088,33249,33440,33707,34013,34263,34383,34487,34521,34500,34472,34472,34464,34555,34713,34877,35002,35216,35359,35462,35562,35698,35869,36086,36341,36603,36854,37170,37474,37766,38043,38304,38611,38894,39151,39386,39591,39815,40028,40234,40419,40577,40755,40936,41117,41283,41427,41609,41790,41962,42125,42273,42473,42679,42883,43079,43259,43507,43755,44000,44232,44438,44715,44976,45220,45445,45641,45891,46136,46367,46573,46741,46966,47182,47380,47554,47691,47894,48092,48282,48450,48583
lva,Latvia,149871,148873,149001,149957,151720,154505,159137,162116,164060,165701,167687,169368,171113,172678,173348,172680,171616,168638,164733,161774,160956,158858,162382,169265,175605,178682,184285,183294,178144,173360,172012,167936,170634,178037,186360,193074,201936,207901,210635,209896,205150,198946,187510,172587,156961,142927,125459,113274,105567,100597,96607,92496,92440,94737,97768,100714,108784,112548,113354,112956,112517,110478,107290,103895,101509,100901,98028,101080,107315,112514,114020,118997,114834,104786,94372,87379,76234,72333,73550,75559,75475,77575,76648,73514,70415,68890,67761,67662,68519,69637,70594,71964,73080,73936,74708,75514,76389,77049,77542,77864,77988,77846,77569,77125,76457,75536,74361,73035,71596,70116,68627,67013,65622,64397,63290,62277,61519,60873,60356,59981,59767,59913,60067,60237,60430,60663,61129,61456,61677,61827,61931,62003,61993,61900,61706,61376,60945,60430,59828,59150,58395,57616,56868,56118,55340,54532,53869,53186,52511,51914,51481
mar,Morocco,1388349,1500006,1643183,1781256,1902386,2010606,2159945,2248420,2301341,2345992,2403864,2453083,2522365,2604788,2681312,2739634,2812868,2850839,2862437,2865421,2875169,2892668,2902872,2912585,2927677,2954915,2995039,3035624,3079176,3129309,3190797,3278206,3355728,3422179,3471845,3502783,3544178,3530682,3481686,3427444,3390725,3334927,3320972,3333325,3340998,3323340,3328126,3281966,3203176,3126570,3076786,3020849,3009295,3030272,3058567,3078572,3126311,3142824,3140497,3145092,3175822,3213681,3276522,3353073,3417863,3454299,3501389,3487630,3432555,3370416,3325038,3248549,3217260,3217341,3221108,3209274,3209648,3190390,3156069,3120388,3092999,3071498,3052992,3038249,3024841,3011739,3004225,2996191,2987658,2979169,2971241,2968711,2963478,2956090,2947075,2936994,2929007,2917834,2904119,2888531,2871587,2854465,2836170,2816734,2796050,2774098,2753083,2731021,2708202,2685210,2662548,2642637,2623155,2604006,2584999,2566189,2552078,2536636,2520289,2503648,2487306,2474946,2461309,2446758,2431607,2416208,2403603,2389915,2375321,2359892,2343711,2329841,2314660,2298348,2281241,2263656,2248297,2232422,2216067,2199181,2181739,2167560,2152543,2136698,2120174,2103181,2090162,2076001,2060811,2044793,2028271
mda,Moldova,202686,222666,249001,274690,298375,321472,353688,373451,385003,392337,398446,398611,399716,400940,399496,393295,382122,369376,356227,345880,340259,333639,338679,350977,363334,370868,387163,390239,384487,378353,378487,378329,385120,397269,409918,419214,428943,435445,437667,434981,427077,418257,400517,376810,351650,328279,299411,278801,264501,252816,241227,232803,224071,215426,208724,205482,207135,209667,213171,216861,220201,224084,225621,225327,223996,222133,218014,214022,210194,206427,202520,196708,193035,190580,188151,184902,182680,178864,173986,169113,165001,160964,157813,155440,153428,151525,150258,149057,147919,146940,146198,146023,145671,145204,144653,144061,143517,142713,141712,140567,139315,137777,136238,134672,133039,131306,129446,127632,125850,124087,122335,120703,119111,117563,116092,114736,113604,112543,111557,110643,109812,109173,108489,107789,107120,106510,105914,105304,104682,104046,103386,102625,101811,100955,100066,99139,98096,97041,95969,94890,93812,92733,91714,90741,89794,88848,88069,87259,86418,85588,84850
mdg,Madagascar,630876,669675,714990,755960,790299,820919,864853,889656,904219,917539,936738,953143,975650,1003807,1034095,1064583,1100324,1131139,1159238,1188657,1223006,1263882,1302036,1339510,1378052,1419743,1467372,1510977,1552290,1593011,1635437,1683439,1724142,1761164,1798829,1840786,1885424,1931618,1980624,2033502,2092168,2160867,2226883,2292714,2362034,2438716,2527130,2611191,2691856,2768570,2842102,2921448,2982757,3032413,3079357,3130541,3176942,3231242,3291452,3352221,3410085,3472738,3528003,3579656,3635036,3699601,3768772,3847879,3934343,4022642,4109427,4207063,4292918,4370228,4444635,4520530,4596922,4671426,4744334,4814277,4880474,4945375,5006339,5064367,5121395,5178761,5236338,5296255,5357580,5418631,5478388,5543365,5604220,5662224,5719731,5778604,5841365,5904004,5966131,6026482,6084381,6146293,6202546,6254143,6302648,6349251,6396649,6441495,6484081,6524438,6562639,6602072,6640112,6676558,6711218,6744009,6780159,6813693,6844819,6873915,6901363,6932485,6960744,6986264,7009010,7029059,7052199,7071304,7086960,7099972,7110951,7123965,7135281,7144760,7152089,7157080,7165219,7170952,7174042,7174136,7171030,7171284,7167063,7159007,7148089,7135293,7124271,7112381,7100081,7086750,7070783
mdv,Maldives,10157,9943,10024,10305,10797,11488,12418,13309,14161,14989,15835,16931,17724,18309,18812,19345,19926,20446,20948,21471,22062,22630,23161,23669,24164,24674,25345,25857,26366,27100,28242,29549,31366,33492,35581,37418,39699,41127,41877,42257,42515,42468,42213,41762,41015,39913,38350,36610,34819,33181,31845,30180,29112,28563,28422,28601,28923,29805,31076,32509,33981,35423,36266,36706,37005,37292,36961,36861,36797,36442,35579,34988,34332,33589,32782,31935,30984,30021,29087,28286,27675,26880,26421,26224,26171,26171,26332,26513,26710,26936,27193,27547,27831,28054,28212,28295,28283,28208,28069,27864,27576,27108,26691,26295,25886,25437,24908,24460,24071,23716,23383,23086,22867,22707,22591,22497,22480,22491,22521,22560,22596,22658,22722,22778,22812,22803,22748,22690,22627,22535,22391,22162,21963,21779,21585,21353,21061,20825,20622,20429,20227,20015,19862,19747,19645,19540,19458,19396,19341,19286,19236
mex,Mexico,4867290,5086974,5353115,5605079,5832726,6048924,6331168,6533293,6694207,6851083,7031681,7203277,7400925,7624177,7861863,8107366,8378013,8649728,8918993,9185241,9450478,9755510,10015510,10236424,10424699,10588954,10753077,10860988,10928769,10974529,11010897,10999944,11004491,11022624,11052896,11093766,11142737,11232193,11342633,11444170,11515972,11635897,11667108,11633090,11578261,11541118,11489280,11461102,11456848,11460213,11451009,11399019,11381936,11379814,11375821,11366225,11394496,11362640,11296339,11234491,11202865,11162556,11170676,11208243,11237317,11234088,11264091,11225505,11138540,11040956,10958742,10858621,10790031,10743117,10694923,10630182,10577020,10505141,10418441,10328395,10243032,10164521,10087751,10012786,9936991,9859200,9791942,9721286,9648036,9573894,9500306,9437711,9373033,9306789,9239490,9171844,9114419,9054708,8992777,8928281,8861133,8802952,8739441,8671963,8602609,8532952,8469549,8407360,8345910,8284297,8221991,8169441,8116492,8062549,8007044,7949745,7903456,7852417,7797803,7741266,7683978,7634779,7585315,7535190,7483716,7430540,7387048,7342534,7296528,7248637,7198613,7159443,7117316,7072350,7024874,6975197,6934920,6892552,6848300,6802227,6754148,6715493,6676527,6636425,6594364,6549763,6516526,6481218,6443511,6403777,6362877
mkd,North Macedonia,170612,183725,196128,204772,208928,209830,213971,212395,207942,203232,199846,192709,190360,191594,194039,195980,199340,201982,203518,203906,203313,204659,201928,196921,192133,189326,184151,183184,185165,187665,188754,190436,191215,190860,189707,188102,187596,185141,181407,177301,173578,169277,166012,163520,161080,158210,154968,150490,145304,140378,136314,131442,128674,127288,126009,124033,123469,121025,117488,114361,112711,110975,111379,113234,115108,116021,117784,117528,115794,113664,111883,109308,107412,106042,104724,103135,101362,99762,98217,96703,95186,93991,92605,91116,89664,88356,87213,86169,85240,84408,83672,83111,82633,82217,81862,81562,81438,81264,81042,80780,80479,80218,79815,79298,78701,78046,77293,76514,75712,74877,74006,73089,72211,71362,70521,69682,68921,68160,67410,66700,66052,65514,65014,64559,64141,63757,63482,63184,62875,62571,62287,62049,61792,61515,61213,60881,60556,60183,59767,59319,58835,58354,57856,57343,56800,56228,55702,55161,54608,54052,53513
mli,Mali,740898,758924,785656,809390,828162,844738,877818,889194,888548,886265,891360,901169,910516,921479,933751,948904,975863,992344,1003146,1015025,1034763,1067241,1091489,1111795,1132029,1156732,1193442,1219266,1239344,1259852,1287084,1326326,1358828,1387066,1412424,1437506,1477285,1502531,1520806,1542534,1577350,1617081,1658760,1703753,1751041,1801211,1863183,1912918,1957030,2005290,2066891,2140554,2214634,2291796,2373789,2463635,2570891,2669441,2761040,2846556,2928051,3021222,3092941,3151302,3207163,3269549,3327437,3391064,3460191,3532110,3605514,3685925,3762028,3835868,3911201,3991697,4083007,4168737,4251052,4331827,4413563,4503134,4582437,4654938,4724956,4796494,4871479,4942274,5009671,5073429,5134197,5199891,5254560,5301487,5345420,5390499,5439125,5484869,5528713,5570907,5612448,5661732,5703864,5740701,5774669,5808313,5849470,5882564,5910210,5935452,5961233,5992872,6020274,6044588,6066679,6087861,6116524,6138512,6155180,6167911,6178383,6195534,6203606,6205588,6205539,6206882,6213226,6219704,6225649,6229047,6229106,6238929,6238252,6229751,6217499,6204916,6197720,6186261,6171925,6155663,6138665,6127346,6113372,6097470,6080276,6062259,6052325,6037647,6018614,5996953,5976083
mlt,Malta,47000,48849,46675,43883,41709,40549,36889,36259,37422,38915,39441,38450,37649,36577,35227,33649,32190,30109,27819,25871,24623,22927,22822,23809,25053,25999,27729,28511,28601,28543,28718,28815,28872,28926,28896,28767,28555,28283,27951,27596,27256,26982,26664,26344,26048,25767,25278,24953,24707,24386,23865,23345,22556,21591,20662,19976,19471,19227,19208,19321,19530,20128,20539,20842,21100,21324,21449,21547,21615,21656,21674,21598,21628,21711,21761,21713,21662,21507,21262,20979,20680,20326,20008,19722,19444,19157,18872,18635,18435,18264,18119,18033,17973,17942,17934,17945,18013,18079,18145,18206,18267,18344,18412,18466,18505,18515,18512,18498,18467,18407,18319,18213,18102,17983,17844,17685,17524,17368,17220,17076,16931,16802,16704,16628,16558,16492,16468,16454,16442,16431,16419,16445,16472,16497,16518,16521,16543,16554,16562,16554,16525,16498,16473,16440,16395,16324,16260,16192,16117,16031,15930
mmr,Myanmar,2487133,2650084,2842560,3009445,3141177,3253677,3429998,3517036,3556089,3586443,3636663,3663394,3721028,3805323,3899564,3994462,4111765,4217995,4314953,4408061,4502477,4617668,4699865,4761227,4817610,4882906,4950014,5017009,5085245,5153484,5222264,5303466,5373155,5429098,5466243,5482871,5510847,5485976,5424149,5348466,5276911,5194512,5129709,5083593,5054443,5042426,5052380,5081455,5122268,5165890,5207087,5296042,5345822,5362486,5353704,5328458,5309798,5241833,5143852,5040175,4948745,4819320,4727929,4666167,4618772,4574474,4545614,4528327,4517676,4510993,4508556,4537891,4536486,4516180,4493385,4480534,4466239,4459467,4458315,4455326,4445619,4437939,4423151,4401512,4375171,4345561,4316749,4282472,4244395,4204563,4164570,4124823,4088020,4053227,4018786,3983788,3955087,3923948,3891542,3860048,3831262,3808243,3785904,3764553,3744099,3724809,3710906,3695637,3679310,3662189,3644659,3630145,3612381,3592273,3570927,3549217,3527519,3505484,3483065,3459956,3436015,3412940,3389202,3364877,3340176,3315337,3292276,3268483,3244441,3220888,3198477,3178085,3158802,3140462,3122691,3105389,3090917,3075351,3059173,3043161,3027971,3014104,3000004,2985748,2971279,2956682,2942592,2927467,2911461,2894781,2877458
mne,Montenegro,48376,49832,52245,54855,57188,59092,61743,62939,63224,63330,63881,64071,65042,66328,66922,66010,64903,62456,59170,56160,54345,52381,51851,52405,53167,53436,54087,53721,52696,51782,51522,51162,51703,52788,53703,53975,54922,54711,53703,52521,51538,49688,48558,47883,47209,46261,45522,44520,43359,42306,41573,41074,40695,40469,40356,40301,40295,40279,40210,40030,39728,39654,39123,38348,37632,37166,36432,36312,36588,36874,36906,37173,36953,36393,35779,35311,34724,34350,34136,33944,33674,33443,33156,32822,32487,32185,31930,31680,31436,31199,30965,30774,30579,30382,30190,30007,29852,29696,29534,29373,29208,29058,28886,28697,28502,28306,28117,27925,27733,27531,27322,27131,26925,26708,26483,26257,26056,25853,25648,25443,25242,25074,24901,24729,24557,24386,24248,24102,23946,23790,23629,23500,23359,23211,23053,22889,22752,22604,22448,22280,22109,21965,21815,21655,21491,21317,21177,21031,20875,20712,20548
mng,Mongolia,95315,99502,106075,113466,120306,126221,134751,139811,143165,147239,154059,161249,171874,184626,196766,206492,217855,223251,224657,225649,228934,230806,236486,244780,252944,259103,266690,270256,271105,271869,274535,277107,281487,287508,294516,302144,312095,321494,329077,332912,332053,334266,326280,311691,295758,282052,261720,249627,243594,239366,233940,230187,225536,220868,218903,221602,227558,237882,251736,267397,283893,304899,323222,338989,352346,363481,374176,379325,380273,378629,375460,366922,360009,354250,348745,342707,335233,330230,326868,324398,322309,322973,322806,322253,322113,323057,325824,328452,331155,333940,336883,340434,343664,346623,349365,351911,354345,356547,358402,359699,360279,360523,359938,358653,356889,354779,352048,349421,346865,344290,341631,339002,336669,334590,332771,331232,330354,329685,329208,328889,328731,329294,329581,329696,329771,329920,330259,330482,330596,330561,330349,330068,329612,328966,328111,327000,325808,324428,322870,321171,319359,317613,315934,314295,312619,310849,309494,308061,306548,305043,303716
moz,Mozambique,1017648,1041071,1056488,1069583,1083907,1103035,1128958,1150579,1171050,1194193,1224023,1262263,1298596,1334633,1371237,1409859,1456777,1494323,1526341,1557960,1594279,1636755,1674000,1709986,1749249,1796433,1851391,1902238,1950473,1997080,2043519,2112710,2170605,2215615,2243216,2252344,2286199,2281843,2260925,2258157,2304883,2340264,2412886,2515147,2624947,2721931,2829098,2917468,2992321,3068642,3161349,3278055,3393832,3509278,3620594,3726470,3848035,3942923,4020577,4094717,4176654,4256094,4342394,4436003,4534167,4635479,4739740,4842100,4943843,5047829,5156628,5274282,5388621,5500900,5611889,5723068,5841605,5950973,6053859,6153636,6253327,6354600,6451611,6545626,6637630,6728750,6822169,6912586,7000175,7084865,7167035,7253769,7332795,7406100,7476501,7546407,7619287,7689578,7757581,7822877,7885556,7952933,8014366,8071424,8126587,8181879,8241517,8300121,8357257,8411621,8462636,8519978,8569629,8613058,8652495,8689751,8730070,8766311,8799231,8829453,8857585,8889122,8918888,8946161,8969606,8988489,9012930,9029220,9039235,9046014,9051831,9060406,9069012,9076788,9081625,9082238,9088510,9088297,9083248,9076491,9070302,9068077,9067145,9066294,9063168,9055789,9055359,9046448,9028813,9004613,8977492
mrt,Mauritania,114612,118023,121012,124019,127575,132120,137805,143185,148400,153575,158983,165649,170815,175098,179336,184303,189991,195500,201047,206673,212522,219369,225379,230899,236430,242468,249651,256116,262250,268481,275285,283508,290983,298053,305103,312581,321874,330357,338292,345860,353349,362025,369080,375231,381441,388503,395865,404033,412994,422512,432584,443921,454279,464201,474540,486081,498845,511303,523917,537165,551551,567356,583142,598792,613932,628482,644648,657697,668659,679010,689874,700322,711514,723272,734997,746349,758852,770404,781263,791963,802987,815438,827060,838243,849412,860988,873882,886419,898733,910874,922991,936580,948993,960591,971889,983335,995834,1007750,1019220,1030281,1041058,1052945,1063713,1073643,1083095,1092410,1102638,1112132,1121093,1129713,1138206,1147721,1156591,1165011,1173244,1181542,1191065,1200135,1208793,1217001,1224811,1233902,1241565,1248253,1254631,1261231,1268513,1275930,1283331,1290299,1296613,1304161,1310177,1315029,1319309,1323487,1328249,1332616,1336670,1340423,1343926,1348253,1352116,1355552,1358589,1361215,1364926,1367570,1369109,1369702,1369817
mus,Mauritius,89055,91566,94698,98613,102808,106872,111270,114650,117250,119712,122634,125539,129052,132532,134794,135120,135839,132607,126747,120454,115325,108673,104880,103266,102564,102186,104745,106405,107476,108354,108899,108373,107908,107191,105943,104340,103610,101720,99423,97954,98182,98265,101094,105510,109330,111010,113882,112103,107183,101975,98585,93780,92657,94033,95400,95010,95629,93383,89065,84448,80784,76511,73625,71867,70463,68946,67975,66921,65790,64784,64048,63932,63584,63137,62676,62294,62008,61687,61359,61024,60684,60276,59965,59683,59339,58864,58411,57785,57023,56200,55365,54453,53608,52814,52047,51286,50552,49898,49305,48762,48271,47909,47569,47252,46967,46727,46591,46448,46302,46148,45989,45873,45722,45533,45312,45059,44798,44517,44211,43876,43511,43131,42758,42381,42001,41599,41227,40862,40495,40131,39771,39475,39199,38936,38685,38447,38275,38109,37957,37801,37639,37535,37415,37273,37106,36927,36773,36607,36431,36239,36012
mwi,Malawi,569451,575528,571576,567663,568941,577544,585410,600314,619602,640628,662328,693203,714603,730071,745388,765573,790417,813344,836025,859262,884670,915959,942147,966065,991408,1021697,1057835,1092908,1127600,1161448,1195237,1232790,1259237,1284419,1323361,1388199,1452458,1535250,1623886,1693992,1726730,1787056,1800342,1782565,1765313,1776769,1797015,1835906,1892134,1954581,2013864,2078547,2132152,2179096,2229020,2290104,2357654,2429777,2503827,2572697,2632444,2694862,2729910,2746578,2758829,2777065,2781814,2801736,2835168,2877113,2923943,2976717,3038921,3106619,3175615,3243317,3325923,3390646,3442817,3490478,3539960,3586584,3633091,3679647,3724203,3765359,3803323,3840724,3877098,3912549,3947072,3982954,4017798,4051463,4083734,4114666,4148750,4178788,4206068,4232570,4259851,4288957,4318905,4348873,4377073,4402413,4431096,4453780,4471930,4488098,4504154,4520513,4537297,4553731,4568011,4578968,4592096,4600381,4604682,4606660,4607508,4609163,4609851,4609480,4607532,4603734,4602118,4598462,4592968,4586112,4578294,4573156,4566461,4558323,4548762,4537882,4529838,4519613,4507496,4493845,4478975,4466413,4452291,4436820,4420175,4402555,4387265,4371196,4354572,4337538,4320048
mys,Malaysia,1019700,1089541,1144622,1197687,1247014,1292062,1331241,1366507,1399771,1435758,1478126,1513589,1566404,1626964,1679549,1712905,1750023,1752439,1731741,1709371,1700923,1675101,1685097,1721890,1766544,1804394,1846010,1881108,1910777,1942146,1980246,2021899,2068863,2120639,2174321,2228386,2280498,2325715,2365254,2401759,2437331,2468663,2500097,2532239,2564671,2595647,2616476,2643220,2669000,2684759,2685612,2690591,2667169,2625462,2580913,2544143,2490847,2459611,2447459,2444631,2439851,2422399,2430351,2452535,2478935,2504056,2553619,2585919,2605619,2620281,2635111,2649022,2656155,2658419,2655832,2648111,2628862,2612868,2597786,2580468,2558146,2531541,2505034,2477885,2450025,2421135,2392798,2365288,2338960,2314526,2292441,2273125,2258332,2247241,2238544,2231287,2229388,2227709,2226348,2225726,2226040,2229109,2232100,2234577,2235503,2233967,2232139,2227502,2220282,2210843,2199115,2184180,2169861,2155535,2140254,2123072,2104545,2087447,2071240,2055508,2039720,2025462,2013284,2002537,1992527,1982696,1975755,1969289,1963372,1958080,1953181,1950029,1948137,1946857,1945195,1942289,1940511,1938088,1934752,1930299,1924338,1917884,1911598,1905014,1897429,1888088,1878243,1868981,1859911,1850505,1839945
nam,Namibia,80681,83275,86184,88958,91538,94106,97564,99923,101714,103525,105870,108429,111262,114413,117723,121136,125082,128536,131884,135808,140821,146579,153414,160773,167615,173254,180668,185365,188164,190428,193236,195064,197538,200916,205370,211098,216120,222354,229208,235774,241329,248519,253611,256987,259351,261304,263609,265324,266424,266539,265430,263737,260648,257149,255023,255553,256059,261428,270135,279616,288161,300504,308713,313885,318005,322587,326425,329521,332208,334399,336078,336155,336837,337856,338864,339588,340292,340856,341335,341956,342899,344451,346027,347674,349389,351226,353753,355879,357744,359533,361418,363593,365593,367447,369147,370702,372403,373812,374923,375714,376178,376691,376713,376343,375716,374932,374068,373175,372273,371378,370517,369910,369472,369116,368687,368112,368098,367543,366629,365649,364814,364142,363625,363213,362759,362181,361897,361375,360626,359679,358572,357616,356304,354749,353085,351417,349717,348176,346733,345274,343727,342450,341040,339523,337982,336475,335249,333961,332605,331165,329660
